Region,Region Name,Building Code,Region,Building Name,Building Address 1,Building Address 2,City,State,Zip,County,Municipality,Country,Latitude,Longitude,Ownership,Building Status,Building Class,Primary Use,Employees,,Seating Capacity,Estimated GSF,
M16,REGION 16 Greater Washington,XBNY,16,Bohemia NY - Mortgage,3920 Veterans Memorial Hwy,Suite 2,Bohemia,NY,11716-1074,Suffolk County,Bohemia,United States of America,,,Leased,Active,Office,Mortgage-Branch,6,each,9,2151.62,square-feet
M16,REGION 16 Greater Washington,YMEG,16,Burke - 5641 Burke Centre Pkwy,5641 Burke Centre Pkwy,Suite 120,Burke,VA,22015-2259,Fairfax County,Fairfax County,United States of America,38.7989783,-77.324206,Leased,Active,Office,Mortgage-Rent a Desk,2,each,1,187,square-feet
M16,REGION 16 Greater Washington,BCCT,16,Danbury CT BCO,100 Mill Plain Rd,Office #327,Danbury,CT,06811-5178,FAIRFIELD,Fairfield County,United States of America,41.3943,-73.514111,Leased,Active,Office,Executive Suite,2,each,1,300,square-feet
M16,REGION 16 Greater Washington,YMFM,16,East Meadow NY Desk - Mortgage,1856 Hempstead Turnpike,,East Meadow,NY,11554-1018,Nassau County,Nassau County,United States of America,40.7239,-73.5676,Leased,Active,Office,Mortgage-Rent a Desk,1,each,1,35,square-feet
M16,REGION 16 Greater Washington,YMGX,16,Fairfax VA-Lee Jackson Hwy-Mortgage,12001 Lee Jackson Hwy,,Fairfax,VA,22033-3333,Fairfax (City) County,Fairfax County,United States of America,,,Leased,Active,Office,Mortgage-Rent a Desk,1,each,1,120,square-feet
M16,REGION 16 Greater Washington,YK01,16,Fairfield CT,1720 Post Rd,Suites A & B,Fairfield,CT,06824-5764,Fairfield County,Fairfield County,United States of America,41.1393,-73.2631,Leased,Active,Office,Mortgage-Branch,2,each,8,2350,square-feet
M16,REGION 16 Greater Washington,C693,16,Fall Hill - Fredericksburg,2403 Fall Hill Ave,,Fredericksburg,VA,22401-3319,Fredericksburg City County,City of Fredericksburg,United States of America,38.313285,-77.47262,Groundlease,Active,Office,General Office with Branch,28,each,53,49067.33,square-feet
M16,REGION 16 Greater Washington,YMEY,16,Flushing NY Desk - Mortgage,172-24 46th Ave,,Flushing,NY,11358-3308,Queens,Queens County,United States of America,40.753613,-73.789009,Leased,Active,Office,Mortgage-Rent a Desk,1,each,1,100,square-feet
M16,REGION 16 Greater Washington,CFPC,16,Frederick - Patrick Center,30 W Patrick St,,Frederick,MD,21701-5654,Frederick County,City of Frederick,United States of America,,,Leased,Active,Office,General Office,32,each,39,10479.39,square-feet
M16,REGION 16 Greater Washington,C602,16,Gaithersburg I,702 Russell Ave,,Gaithersburg,MD,20877-2606,Montgomery County,City of Gaithersburg,United States of America,39.150822,-77.206108,Leased,Active,Office,General Office with Branch,62,each,74,16932.51,square-feet
M16,REGION 16 Greater Washington,YMAE,16,Garden City - Mortgage,666 Old Country Rd,Suite 103,Garden City,NY,11530-2004,Nassau County,Nassau County,United States of America,40.74347,-73.61369,Leased,Active,Office,Mortgage-Branch,8,each,8,1000,square-feet
M16,REGION 16 Greater Washington,NHRT,16,Glastonbury CT BCO,180 Glastonbury Blvd,Suite 102,Glastonbury,CT,06033-4439,Hartford County,County of Hartford,United States of America,41.721055,-72.622277,Leased,Active,Office,General Office,8,each,13,3593.85,square-feet
M16,REGION 16 Greater Washington,XRIC,16,Harris Williams - Richmond,1001 Haxall Point,9th Floor,Richmond,VA,23219-3944,Richmond City County,City of Richmond,United States of America,37.533519,-77.437998,Leased,Active,Office,General Office,178,each,192,53408.02,square-feet
M16,REGION 16 Greater Washington,YN24,16,Hartford - CT,101 Centerpoint Drive,Suite 109,Middletown,CT,06457-1517,Middlesex County,County of Hartford,United States of America,41.601617,-72.708559,Leased,Active,Office,Mortgage-Branch,1,each,2,589,square-feet
M16,REGION 16 Greater Washington,CA06,16,Laurel - Administration,517 Main St,,Laurel,MD,20707-4126,Prince George's County,City of Laurel MD,United States of America,39.107401,-76.850932,Owned,Active,Office,General Office,29,each,65,20657.48,square-feet
M16,REGION 16 Greater Washington,YMFP,16,Levittown NY Desk - Mortgage,2694 Hempstead Trpk,,Levittown,NY,11756-1324,Nassau County,Nassau County,United States of America,40.7242,-73.5353,Leased,Active,Office,Mortgage-Rent a Desk,1,each,1,35,square-feet
M16,REGION 16 Greater Washington,YC10,16,Long Island NY - PNC EF,50 Fairchild Ct,,Plainview,NY,11803-1701,Nassau,Nassau County,United States of America,40.795478,-73.461179,Leased,Active,Office,Executive Suite,2,each,1,220,square-feet
M16,REGION 16 Greater Washington,C543,16,McLean Bldg - Old Dominion Drive,6805 Old Dominion Dr,,McLean,VA,22101-3703,Fairfax County,Fairfax County,United States of America,38.934054,-77.178154,Leased,Active,Office,General Office with Branch,35,each,52,18488.48,square-feet
M16,REGION 16 Greater Washington,YMFW,16,McLean VA Desk - Mortgage,6226 Old Dominion Dr,,McLean,VA,22101-4217,Fairfax County,Fairfax County,United States of America,38.919296,-77.150352,Leased,Active,Office,Mortgage-Rent a Desk,1,each,1,100,square-feet
M16,REGION 16 Greater Washington,YMFK,16,Merrick NY Mortgage-141 Merrick Ave,141 Merrick Ave,,Merrick,NY,11566-3414,Nassau County,Nassau County,United States of America,40.6582,-73.5499,Leased,Active,Office,Mortgage-Rent a Desk,1,each,1,35,square-feet
M16,REGION 16 Greater Washington,XNVH,16,N VA Headquarters,1750 Tysons Blvd,,Tysons Corner,VA,22102-4208,Fairfax County,Fairfax County,United States of America,38.923664,-77.222908,Leased,Active,Office,General Office,33,each,55,19666.78731,square-feet
M16,REGION 16 Greater Washington,U079,16,Norfolk Downtown,555 E Main St,,Norfolk,VA,23510-2200,Norfolk County,City of Norfolk,United States of America,36.845207,-76.287398,Leased,Active,Office,General Office with Branch,25,each,33,12862.53857,square-feet
M16,REGION 16 Greater Washington,YMGZ,16,Occoquan VA - Mortgage,300 Ellicott St,,Occoquan,VA,22125-9998,Prince William County,Town of Occoquan,United States of America,,,Leased,Active,Office,Mortgage-Rent a Desk,0,each,1,120,square-feet
M16,REGION 16 Greater Washington,CPNC,16,PNC Place,800 17th St NW,,Washington DC,DC,20006-3906,,District of Columbia,United States of America,38.900263,-77.039471,Leased,Active,Office,General Office,252,each,314,104107.3672,square-feet
M16,REGION 16 Greater Washington,CRDC,16,Richmond Data Center - Greenfield 1,6000 Technology Blvd,,Sandston,VA,23150-5000,Henrico County,Henrico County,United States of America,37.4882,-77.2442,Leased,Active,Office,Data Center,0,each,0,12186.94,square-feet
M16,REGION 16 Greater Washington,XRWE,16,Richmond West End Exec Suites,3900 Westerre Parkway,Suite 300,Richmond,VA,23233-1339,Richmond City County,Henrico County,United States of America,37.6438,-77.5784,Leased,Active,Office,Executive Suite,5,each,5,672,square-feet
M16,REGION 16 Greater Washington,CRVR,16,RiverTech Operations Ctr,5700 Rivertech Ct,,Riverdale,MD,20737-1250,Prince George's County,Town of Riverdale Park,United States of America,38.967495,-76.92946,Leased,Active,Office,General Office,38,each,113,28739.65,square-feet
M16,REGION 16 Greater Washington,XRTC,16,Rockville Training,12300 Twinbrook Pkwy,,Rockville,MD,20852-1606,Montgomery County,City of Rockville,United States of America,39.05912,-77.120125,Leased,Active,Office,General Office,2,each,4,3052.033949,square-feet
M16,REGION 16 Greater Washington,CSVM,16,Springfield VA - Mortgage,8442 Old Keene Mill Rd,,West Springfield,VA,22152-2337,Fairfax County,Unknown,United States of America,,,Leased,Active,Office,Mortgage-Rent a Desk,1,each,1,120,square-feet
M16,REGION 16 Greater Washington,YB44,16,Stamford - 201 Broad Street,201 Broad Street,Suite 420,Stamford,CT,06902-3834,Fairfield County,Fairfield County,United States of America,41.0554,-73.5338,Leased,Active,Office,General Office,8,each,12,1620.63,square-feet
M16,REGION 16 Greater Washington,XSWB,16,Stamford CT - Washington Blvd,1010 Washington Blvd,10th Floor,Stamford,CT,06901-2203,Fairfield County,City of Stamford,United States of America,41.0533,-73.5426,Leased,Active,Office,General Office,18,each,11,4833,square-feet
